                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     49,               0.026694,               0.027107,               0.071324,              0.0020366,                0.70129,                0.72138,                0.71109,                0.48352,                 0.7049,                0.72628,                0.72127,                0.43031,               0.029907,               0.032428,               0.068006,              0.0038253,               0.007624,               0.007624,               0.007624
                     50,               0.027148,               0.027014,               0.072612,              0.0019473,                0.71263,                0.72566,                0.73695,                0.50277,                0.73789,                 0.7548,                0.75434,                0.45385,               0.030309,                0.03283,               0.067043,              0.0036974,              0.0075745,              0.0075745,              0.0075745
                     51,               0.026792,                0.02715,               0.072491,              0.0018398,                0.70079,                0.73673,                 0.7183,                0.49206,                 0.7028,                0.73651,                0.72367,                 0.4431,               0.028576,               0.032997,               0.065111,              0.0037335,               0.007525,               0.007525,               0.007525
                     52,               0.027479,               0.026827,               0.071558,              0.0020765,                0.74756,                0.70334,                0.73758,                0.49109,                0.76646,                0.69813,                0.73906,                0.44699,               0.028893,               0.033155,               0.064316,              0.0038457,              0.0074755,              0.0074755,              0.0074755
                     53,                0.02689,               0.027259,               0.069465,              0.0019669,                0.75387,                0.72795,                0.74383,                0.51058,                0.75886,                0.73141,                0.74802,                0.45703,               0.029022,               0.033018,               0.065556,              0.0038916,               0.007426,               0.007426,               0.007426
                     54,               0.026253,               0.026666,               0.069235,              0.0018616,                0.76412,                0.71574,                0.74864,                0.52038,                0.77559,                0.72646,                0.75922,                0.48067,               0.029073,               0.032543,                0.06697,              0.0036678,              0.0073765,              0.0073765,              0.0073765
                     55,               0.026903,               0.026656,               0.069634,              0.0020994,                0.71875,                0.75246,                0.73514,                0.50899,                0.72193,                0.75422,                0.74994,                0.46458,               0.028614,               0.032842,               0.065908,              0.0039729,               0.007327,               0.007327,               0.007327
                     56,               0.026739,               0.026327,               0.070317,              0.0018656,                0.78226,                0.73607,                0.75115,                0.52433,                0.80422,                0.74476,                0.76535,                0.47927,               0.027913,               0.032597,               0.063531,              0.0036571,              0.0072775,              0.0072775,              0.0072775
                     57,               0.025883,               0.026711,               0.070252,              0.0019498,                0.76941,                0.71806,                0.73087,                0.51018,                0.77953,                 0.7257,                0.73581,                0.46789,               0.027771,               0.032821,               0.065965,              0.0041182,               0.007228,               0.007228,               0.007228
                     58,               0.026673,               0.026454,                0.06965,              0.0018319,                0.74877,                0.72362,                0.72663,                 0.5065,                0.76465,                0.72601,                0.73037,                0.45334,               0.028165,               0.033416,               0.066779,              0.0041723,              0.0071785,              0.0071785,              0.0071785
                     59,               0.025582,                0.02646,               0.068129,               0.001894,                0.74544,                0.70798,                0.71283,                0.49435,                0.71195,                0.76908,                0.72766,                0.45551,               0.029678,               0.033452,               0.066601,              0.0034955,               0.007129,               0.007129,               0.007129
                     60,               0.025863,               0.026239,                0.06732,              0.0018962,                0.73154,                0.72679,                0.71152,                0.48767,                0.73354,                 0.7268,                0.71449,                0.45326,               0.027564,               0.033183,                 0.0657,              0.0037042,              0.0070795,              0.0070795,              0.0070795
                     61,                0.02559,               0.026416,                0.06857,              0.0018045,                 0.7743,                0.69426,                0.73196,                0.50585,                0.79639,                0.71164,                0.74769,                0.46876,               0.028261,               0.032674,                0.06655,              0.0038537,                0.00703,                0.00703,                0.00703
                     62,                0.02439,               0.026299,               0.068297,              0.0016572,                0.74133,                0.71463,                0.71075,                0.48578,                0.75827,                0.69023,                0.70854,                0.44637,               0.028379,               0.033572,               0.066304,              0.0037191,              0.0069805,              0.0069805,              0.0069805
                     63,               0.025008,               0.025949,               0.067713,              0.0017269,                0.74844,                0.74434,                0.72219,                0.49937,                0.75528,                   0.75,                0.72805,                0.43632,               0.029452,               0.033357,               0.066949,              0.0035241,               0.006931,               0.006931,               0.006931
                     64,               0.025513,               0.026291,               0.068402,              0.0016456,                0.80976,                 0.7176,                 0.7296,                0.50497,                0.78512,                0.72711,                0.73438,                0.44417,               0.029251,               0.033096,                 0.0677,              0.0038173,              0.0068815,              0.0068815,              0.0068815
                     65,               0.024631,               0.025568,               0.066775,              0.0017299,                0.73935,                0.72722,                 0.7212,                0.48927,                 0.7517,                0.72307,                 0.7225,                0.44001,               0.028533,                 0.0329,               0.067928,              0.0038589,               0.006832,               0.006832,               0.006832
