                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     44,               0.026743,               0.026374,               0.068029,               0.002185,                0.74605,                0.71196,                0.72069,                 0.4952,                0.74316,                0.72043,                 0.7284,                0.45867,               0.029736,               0.033442,               0.066972,              0.0038711,              0.0078715,              0.0078715,              0.0078715
                     45,               0.027283,               0.026239,               0.068134,              0.0019632,                0.70907,                0.71925,                0.70018,                0.46408,                0.74837,                0.69397,                0.70224,                0.43001,               0.031097,               0.033891,               0.066528,              0.0044111,               0.007822,               0.007822,               0.007822
                     46,               0.026464,               0.026983,               0.067925,              0.0020119,                 0.7737,                0.68177,                0.71989,                0.48729,                0.78091,                0.69124,                0.73147,                0.46695,               0.029929,               0.033195,               0.066949,              0.0040091,              0.0077725,              0.0077725,              0.0077725
                     47,               0.026064,               0.027046,               0.067986,              0.0019877,                0.75158,                0.71457,                 0.7345,                 0.5062,                0.75212,                0.70988,                0.73559,                0.47216,               0.028806,               0.033791,                 0.0669,              0.0039871,               0.007723,               0.007723,               0.007723
                     48,               0.027367,               0.026503,               0.067708,              0.0020525,                0.76271,                0.70514,                0.69646,                0.47666,                0.78818,                0.71783,                0.71289,                0.44173,               0.029256,               0.034123,               0.067711,              0.0041478,              0.0076735,              0.0076735,              0.0076735
                     49,               0.026487,               0.026301,               0.068701,              0.0018329,                0.67823,                0.73515,                0.71449,                0.48318,                0.72558,                 0.7145,                0.72947,                0.44373,               0.029739,               0.033389,               0.066588,              0.0041396,               0.007624,               0.007624,               0.007624
                     50,               0.026919,               0.026025,               0.069579,              0.0019112,                0.75032,                0.71033,                0.73823,                0.50512,                0.75858,                 0.7198,                0.74548,                0.45976,               0.030731,               0.033696,               0.067027,              0.0037921,              0.0075745,              0.0075745,              0.0075745
                     51,               0.026122,               0.026143,               0.068825,              0.0017908,                0.76405,                0.70395,                0.71532,                0.48566,                0.78483,                0.69465,                0.72971,                0.44861,               0.030418,               0.033069,               0.067122,              0.0037906,               0.007525,               0.007525,               0.007525
                     52,               0.025614,               0.025857,               0.067976,              0.0020219,                0.79232,                0.73661,                0.75565,                0.51309,                0.78358,                0.73868,                0.75861,                0.47418,               0.029881,               0.033248,               0.068143,              0.0039235,              0.0074755,              0.0074755,              0.0074755
                     53,                0.02576,               0.026433,               0.066046,              0.0018909,                0.75058,                 0.7333,                0.73884,                0.51017,                0.76113,                0.73318,                0.74096,                0.45748,                0.02903,               0.033529,               0.067941,              0.0042495,               0.007426,               0.007426,               0.007426
