                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     65,               0.023104,               0.024039,               0.061817,              0.0014983,                0.73845,                0.71208,                0.72102,                0.51637,                0.72306,                0.73288,                0.72892,                0.45538,               0.028355,               0.033247,               0.067346,              0.0037986,               0.006832,               0.006832,               0.006832
                     66,               0.023596,                0.02419,               0.063054,              0.0015436,                0.75807,                0.70295,                0.73388,                0.52318,                0.78258,                0.72775,                0.74352,                0.46426,               0.027608,               0.032985,               0.066214,              0.0037222,              0.0067825,              0.0067825,              0.0067825
                     67,               0.022806,               0.024498,               0.059438,              0.0014377,                0.75674,                0.72597,                0.72957,                0.51666,                0.74182,                0.71728,                 0.7165,                0.44767,               0.027227,                 0.0327,               0.065868,              0.0040708,               0.006733,               0.006733,               0.006733
                     68,               0.023069,               0.024618,               0.060791,              0.0014797,                 0.7889,                0.71121,                0.74216,                0.51412,                0.80422,                0.70619,                0.73854,                0.45782,               0.029013,               0.033404,               0.067175,              0.0040152,              0.0066835,              0.0066835,              0.0066835
                     69,               0.023198,               0.023906,               0.061972,              0.0013724,                0.76702,                0.71817,                 0.7286,                0.50748,                0.78367,                0.73282,                0.74135,                0.44498,               0.028328,               0.034142,               0.064574,              0.0039824,               0.006634,               0.006634,               0.006634
                     70,               0.022537,               0.023686,                0.06041,              0.0015525,                 0.7255,                0.72854,                0.72292,                0.50698,                0.73665,                0.73807,                0.73103,                0.46997,               0.028459,               0.034165,                0.06698,              0.0042689,              0.0065845,              0.0065845,              0.0065845
                     71,               0.021833,               0.024289,               0.060366,              0.0014184,                 0.7487,                0.68688,                0.70616,                0.49784,                0.77105,                0.68973,                0.71252,                0.45038,               0.028543,               0.033079,                0.06793,              0.0041692,               0.006535,               0.006535,               0.006535
                     72,               0.021933,               0.023901,               0.059874,              0.0014893,                0.76988,                0.65359,                0.70884,                0.50456,                0.78065,                0.66357,                0.71119,                0.46085,               0.027381,               0.032367,               0.066707,              0.0042586,              0.0064855,              0.0064855,              0.0064855
                     73,               0.022304,               0.023863,               0.058946,              0.0014449,                0.73204,                0.71894,                0.72638,                0.51356,                0.78756,                0.68927,                0.72971,                0.45344,               0.027888,               0.033145,               0.065586,              0.0045585,               0.006436,               0.006436,               0.006436
                     74,               0.022574,                0.02433,               0.060206,              0.0014465,                0.75771,                0.68756,                0.71536,                0.50617,                0.76862,                0.69608,                0.72377,                0.46113,               0.028888,               0.033131,               0.066454,              0.0042899,              0.0063865,              0.0063865,              0.0063865
