                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.70799,                 1.2399,                0.53865,                0.93841,                0.77983,                0.67666,                0.75059,                0.55758,                0.78535,                0.67658,                0.75789,                0.49305,                0.85081,                  1.551,                0.75053,                 1.0581,             0.00095507,             0.00095507,             0.00095507
                     69,                0.70543,                  1.238,                0.51195,                0.92328,                0.70776,                0.72576,                0.72093,                0.52754,                0.72013,                0.73826,                0.72745,                0.46504,                0.84664,                 1.5216,                0.74881,                 1.0765,               0.000948,               0.000948,               0.000948
                     70,                 0.7069,                 1.2626,                0.51599,                0.93512,                0.77203,                0.68847,                  0.721,                0.54306,                0.78636,                0.69953,                 0.7355,                0.47666,                0.85757,                 1.5275,                0.72028,                 1.0701,             0.00094093,             0.00094093,             0.00094093
                     71,                0.69414,                 1.2613,                0.51633,                0.92518,                0.76068,                0.71277,                0.75289,                0.55286,                0.77135,                0.72183,                0.76362,                0.50124,                0.81004,                 1.4832,                0.71677,                 1.0095,             0.00093385,             0.00093385,             0.00093385
                     72,                0.69103,                 1.2505,                0.51318,                0.92927,                 0.7319,                0.70271,                0.71579,                0.52646,                0.73801,                0.71424,                0.72333,                0.47238,                 0.8302,                 1.5059,                0.71095,                 1.0593,             0.00092678,             0.00092678,             0.00092678
                     73,                0.68276,                 1.2326,                0.51412,                0.92511,                0.73897,                0.68756,                 0.7388,                0.54467,                0.75323,                0.70154,                  0.752,                0.48815,                0.84251,                  1.555,                0.73699,                 1.0562,              0.0009197,              0.0009197,              0.0009197
                     74,                0.67817,                 1.2134,                0.50648,                0.92155,                0.72749,                0.70521,                0.71025,                   0.53,                0.73174,                0.70873,                0.72304,                0.46904,                 0.8284,                 1.4963,                0.74574,                 1.0467,             0.00091263,             0.00091263,             0.00091263
                     75,                0.68979,                 1.2499,                0.50551,                0.93107,                0.70605,                0.72736,                0.69603,                0.49892,                0.71026,                0.73144,                0.70246,                0.44957,                0.82536,                 1.5097,                0.74093,                 1.0424,             0.00090556,             0.00090556,             0.00090556
                     76,                0.68688,                 1.2297,                0.50318,                0.92205,                0.72867,                0.73861,                0.73209,                0.54511,                0.76343,                0.71128,                0.73996,                 0.4786,                0.82703,                 1.5755,                0.74721,                 1.0299,             0.00089848,             0.00089848,             0.00089848
                     77,                0.68545,                 1.2346,                0.50321,                0.92472,                0.76613,                0.73716,                 0.7675,                0.56558,                0.77609,                0.74626,                0.77855,                 0.5152,                0.80748,                 1.4913,                0.70527,                 1.0307,             0.00089141,             0.00089141,             0.00089141
                     78,                0.67221,                 1.2136,                0.50392,                0.92127,                0.74062,                0.74014,                 0.7547,                0.55453,                0.74958,                0.74835,                0.76707,                0.49682,                0.84317,                 1.5285,                 0.7156,                 1.0579,             0.00088434,             0.00088434,             0.00088434
