                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0745,                 2.0851,                0.85839,                 1.1598,                0.71299,                0.52933,                0.61011,                0.44274,                0.72122,                0.53574,                0.62404,                0.37657,                0.91518,                 1.6712,                0.87603,                 1.1419,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.0001,                 2.0033,                0.81686,                 1.1511,                0.57253,                0.60287,                0.62647,                0.44392,                0.60534,                0.62492,                0.64464,                0.38915,                 0.9124,                 1.6635,                0.88351,                 1.1195,             0.00089141,             0.00089141,             0.00089141
                     79,                   1.02,                  2.018,                 0.8493,                 1.1446,                0.63147,                0.52613,                0.59784,                0.42387,                0.53067,                0.60431,                0.60892,                0.35475,                0.93546,                 1.6828,                0.94345,                 1.1324,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.0367,                 2.0406,                0.83548,                  1.168,                0.62473,                0.67788,                0.66561,                0.46818,                0.58709,                0.65039,                0.66004,                0.40575,                0.90306,                 1.6767,                0.89098,                 1.1119,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.0404,                 2.0441,                0.86491,                 1.1602,                0.61233,                0.63403,                0.63849,                0.42257,                0.60018,                0.61694,                0.63559,                0.37011,                0.92482,                 1.9072,                0.95911,                 1.1261,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.0043,                 1.9466,                0.82441,                 1.1663,                0.64972,                0.58621,                0.57816,                0.39671,                0.63464,                0.61479,                  0.575,                0.35877,                0.89618,                  1.702,                0.92034,                 1.1179,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.0473,                 2.0587,                0.87992,                 1.1719,                0.55777,                0.66028,                0.61421,                0.41552,                0.56223,                0.66562,                0.62237,                0.38485,                0.91828,                 1.6609,                0.90911,                   1.13,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.0787,                 2.0762,                0.87013,                 1.1908,                 0.5492,                0.61207,                0.59048,                0.39625,                0.62431,                0.53916,                0.58886,                0.35285,                0.97444,                 1.7165,                0.96256,                 1.1583,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.0046,                 2.0285,                 0.8274,                 1.1575,                 0.6447,                0.58216,                0.60636,                0.42674,                0.63276,                0.56507,                0.58101,                 0.3615,                0.89764,                 1.6787,                0.92692,                 1.1305,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.0283,                 2.0083,                0.82304,                 1.1624,                  0.745,                0.57401,                0.66022,                0.46098,                0.72399,                0.55692,                0.64914,                0.41451,                0.93407,                 1.7073,                0.89574,                 1.1266,             0.00083482,             0.00083482,             0.00083482
